service_module,source_file,service_symbols,public_method_count,public_function_count,router_references,collection_references,persistence_helpers,model_imports,external_io_markers,static_reference_count,notes
special_services_service,backend/services/special_services_service.py,category_for_service_type@16;json_warnings@39;merge_documents@43;write_service_audit@55;SpecialServicesService@76,11,4,backend/routers/agency_special_services.py,audit_events;passenger_service_requests;request_segments;service_catalogue;trip_segments,collection(;Database,AuditEvent;PassengerServiceRequest;PassengerServiceRequestCreate,requests.,1,external markers are lexical and require manual interpretation
special_services_unified_facade,backend/services/special_services_unified_facade.py,SpecialServicesUnifiedFacade@12,5,0,,booking_records;trip_service_items,collection(;Database,,,0,external markers are lexical and require manual interpretation
ssr_osi_generator_service,backend/services/ssr_osi_generator_service.py,payload_value@51;compact_text@58;build_ssr_text@62;merge_documents@101;render_catalogue_template@113;SsrOsiGeneratorService@122,1,5,backend/routers/platform_rules_services.py,,Database,,,1,external markers are lexical and require manual interpretation
ssr_osi_workspace_service,backend/services/ssr_osi_workspace_service.py,SsrOsiWorkspaceError@30;SsrOsiWorkspaceService@34,14,0,backend/routers/agency_ssr_osi_workspaces.py;backend/routers/platform_ssr_osi_workspaces.py,agencies;ssr_osi_workspaces,collection(;Database,SsrOsiApprovalStatus;SsrOsiNeedCategory;SsrOsiOperationalStatus;SsrOsiReadinessStatus;SsrOsiWorkspace;SsrOsiWorkspaceCreate;SsrOsiWorkspaceUpdate;new_id,provider,2,external markers are lexical and require manual interpretation
task_automation_dependency_service,backend/services/task_automation_dependency_service.py,TaskAutomationDependencyError@249;TaskAutomationDependencyService@253,21,0,backend/routers/agency_task_automation.py;backend/routers/platform_task_automation.py,operational_task_automation_rules;operational_task_automation_runs;operational_task_dependencies;operational_task_templates;operational_workflow_events;request_tasks,collection(;Database,OperationalTaskAutomationRule;OperationalTaskAutomationRuleCreate;OperationalTaskAutomationRuleUpdate;OperationalTaskAutomationRun;OperationalTaskAutomationRunRequest;OperationalTaskDependency;OperationalTaskDependencyActionRequest;OperationalTaskDependencyCreate;OperationalTaskDependencyUpdate;OperationalTaskTemplate;OperationalTaskTemplateCreate;OperationalTaskTemplateUpdate;RequestTask;new_id,provider,2,external markers are lexical and require manual interpretation
tenant_service,backend/services/tenant_service.py,forbidden@42;not_found@46;get_membership@50;assert_agency_access@59;require_agency_context@71;filter_by_agency@79;assert_agency_record@86;deny_cross_agency_access@94;require_any_platform_role@98;require_any_agency_role@103;portal_client_context@116;assert_portal_owns_client_record@131;assert_portal_can_view_passenger@144;safe_public_projection@164;assert_portal_projection_safe@172,0,15,backend/routers/agencies.py;backend/routers/agency_after_sales_workflows.py;backend/routers/agency_agent_work_queues.py;backend/routers/agency_airline_capability_matrix.py;backend/routers/agency_airline_contact_directory.py;backend/routers/agency_airline_distribution_capabilities.py;backend/routers/agency_airline_fare_brand_intelligence.py;backend/routers/agency_airline_intelligence_agency_consumption.py;backend/routers/agency_airline_intelligence_data_pack_reviews.py;backend/routers/agency_airline_intelligence_data_packs.py;backend/routers/agency_airline_intelligence_knowledge_versions.py;backend/routers/agency_airline_intelligence_readiness.py;backend/routers/agency_airline_knowledge_acquisition.py;backend/routers/agency_airline_knowledge_governance.py;backend/routers/agency_airline_knowledge_normalisation.py;backend/routers/agency_airline_knowledge_publishing.py;backend/routers/agency_airline_knowledge_versioning.py;backend/routers/agency_airline_master_profiles.py;backend/routers/agency_airline_operational_intelligence.py;backend/routers/agency_airline_policy_evidence_governance.py;backend/routers/agency_airline_policy_library.py;backend/routers/agency_airline_recommendations.py;backend/routers/agency_airline_service_coverage.py;backend/routers/agency_ancillary_pricing.py;backend/routers/agency_booking_imports.py;backend/routers/agency_booking_workspaces.py;backend/routers/agency_capabilities.py;backend/routers/agency_client_passenger_master.py;backend/routers/agency_document_workspaces.py;backend/routers/agency_documents.py;backend/routers/agency_emd_workspaces.py;backend/routers/agency_feature_bundle_assignments.py;backend/routers/agency_feature_bundle_dependencies.py;backend/routers/agency_feature_bundle_rollout_approvals.py;backend/routers/agency_feature_bundle_rollout_change_requests.py;backend/routers/agency_feature_bundle_rollout_decisions.py;backend/routers/agency_feature_bundle_rollout_issues.py;backend/routers/agency_feature_bundle_rollout_plans.py;backend/routers/agency_feature_bundle_rollout_readiness.py;backend/routers/agency_feature_bundle_rollout_risks.py;backend/routers/agency_feature_bundle_rollout_rollback_plans.py;backend/routers/agency_feature_bundle_rollout_schedule.py;backend/routers/agency_feature_bundle_rollout_summary_packs.py;backend/routers/agency_feature_bundle_rollout_timeline.py;backend/routers/agency_feature_flag_bundles.py;backend/routers/agency_feature_flag_readiness.py;backend/routers/agency_feature_flags.py;backend/routers/agency_flight_workspaces.py;backend/routers/agency_gds_parser.py;backend/routers/agency_intelligent_offer_builder.py;backend/routers/agency_interline_codeshare_intelligence.py;backend/routers/agency_journey_authoring.py;backend/routers/agency_journey_comparison_presentations.py;backend/routers/agency_journey_option_composition.py;backend/routers/agency_journeys.py;backend/routers/agency_knowledge_import_templates.py;backend/routers/agency_knowledge_population_toolkit.py;backend/routers/agency_knowledge_quality_assurance.py;backend/routers/agency_offer_acceptance.py;backend/routers/agency_offer_booking_handoffs.py;backend/routers/agency_offer_builder.py;backend/routers/agency_offer_decision_explanations.py;backend/routers/agency_offer_decision_export_audit_reviews.py;backend/routers/agency_offer_decision_export_compliance.py;backend/routers/agency_offer_decision_export_deliveries.py;backend/routers/agency_offer_decision_export_delivery_outcomes.py;backend/routers/agency_offer_decision_export_governance.py;backend/routers/agency_offer_decision_export_previews.py;backend/routers/agency_offer_decision_export_releases.py;backend/routers/agency_offer_decision_exports.py;backend/routers/agency_offer_decision_packs.py;backend/routers/agency_offer_deliveries.py;backend/routers/agency_offer_policy_advisor.py;backend/routers/agency_offer_workspaces.py;backend/routers/agency_operational_constraints.py;backend/routers/agency_operational_evaluations.py;backend/routers/agency_operational_intelligence_cases.py;backend/routers/agency_operational_rule_composer.py;backend/routers/agency_operational_scenario_testing.py;backend/routers/agency_operational_sla_deadlines.py;backend/routers/agency_operational_timelines.py;backend/routers/agency_operational_travel_workspaces.py;backend/routers/agency_operational_workflow_maturity.py;backend/routers/agency_operational_workflows.py;backend/routers/agency_operations_command_center.py;backend/routers/agency_passenger_service_feasibility.py;backend/routers/agency_passenger_service_workflows.py;backend/routers/agency_passenger_workspaces.py;backend/routers/agency_pilot_readiness.py;backend/routers/agency_policy_comparison.py;backend/routers/agency_pricing_formula_builder.py;backend/routers/agency_reference_data_engine.py;backend/routers/agency_request_segment_services.py;backend/routers/agency_request_trip_conversion.py;backend/routers/agency_rollout_dashboard.py;backend/routers/agency_saas_subscriptions.py;backend/routers/agency_service_mechanics.py;backend/routers/agency_service_parameter_taxonomies.py;backend/routers/agency_service_taxonomy.py;backend/routers/agency_special_services.py;backend/routers/agency_ssr_osi_workspaces.py;backend/routers/agency_task_automation.py;backend/routers/agency_ticket_emd.py;backend/routers/agency_ticket_workspaces.py;backend/routers/agency_travel_request_workspaces.py;backend/routers/agency_trip_changes.py;backend/routers/agency_trip_workspaces.py;backend/routers/agency_visual_policy_editor.py;backend/routers/airline_intelligence.py;backend/routers/bookings.py;backend/routers/clients.py;backend/routers/documents.py;backend/routers/finance.py;backend/routers/form_profiles.py;backend/routers/offers.py;backend/routers/passengers.py;backend/routers/platform_after_sales_workflows.py;backend/routers/platform_agent_work_queues.py;backend/routers/platform_airline_capability_matrix.py;backend/routers/platform_airline_contact_intelligence.py;backend/routers/platform_airline_distribution_capabilities.py;backend/routers/platform_airline_fare_brand_intelligence.py;backend/routers/platform_airline_intelligence.py;backend/routers/platform_airline_intelligence_agency_consumption.py;backend/routers/platform_airline_intelligence_data_pack_reviews.py;backend/routers/platform_airline_intelligence_data_packs.py;backend/routers/platform_airline_intelligence_knowledge_versions.py;backend/routers/platform_airline_intelligence_readiness.py;backend/routers/platform_airline_knowledge_acquisition.py;backend/routers/platform_airline_knowledge_governance.py;backend/routers/platform_airline_knowledge_normalisation.py;backend/routers/platform_airline_knowledge_publishing.py;backend/routers/platform_airline_knowledge_versioning.py;backend/routers/platform_airline_master_profiles.py;backend/routers/platform_airline_operational_intelligence.py;backend/routers/platform_airline_policy_evidence_governance.py;backend/routers/platform_airline_policy_ingestion.py;backend/routers/platform_airline_recommendations.py;backend/routers/platform_airline_service_coverage.py;backend/routers/platform_ancillary_pricing.py;backend/routers/platform_blueprint.py;backend/routers/platform_booking_workspaces.py;backend/routers/platform_capabilities.py;backend/routers/platform_client_passenger_master.py;backend/routers/platform_document_workspaces.py;backend/routers/platform_documents.py;backend/routers/platform_emd_workspaces.py;backend/routers/platform_feature_bundle_assignments.py;backend/routers/platform_feature_bundle_dependencies.py;backend/routers/platform_feature_bundle_rollout_approvals.py;backend/routers/platform_feature_bundle_rollout_change_requests.py;backend/routers/platform_feature_bundle_rollout_decisions.py;backend/routers/platform_feature_bundle_rollout_issues.py;backend/routers/platform_feature_bundle_rollout_plans.py;backend/routers/platform_feature_bundle_rollout_readiness.py;backend/routers/platform_feature_bundle_rollout_risks.py;backend/routers/platform_feature_bundle_rollout_rollback_plans.py;backend/routers/platform_feature_bundle_rollout_schedule.py;backend/routers/platform_feature_bundle_rollout_summary_packs.py;backend/routers/platform_feature_bundle_rollout_timeline.py;backend/routers/platform_feature_flag_audits.py;backend/routers/platform_feature_flag_bundles.py;backend/routers/platform_feature_flags.py;backend/routers/platform_flight_workspaces.py;backend/routers/platform_gds_parser.py;backend/routers/platform_intelligent_offer_builder.py;backend/routers/platform_interline_codeshare_intelligence.py;backend/routers/platform_journey_authoring.py;backend/routers/platform_journey_engine.py;backend/routers/platform_knowledge_import_templates.py;backend/routers/platform_knowledge_population_toolkit.py;backend/routers/platform_knowledge_quality_assurance.py;backend/routers/platform_offer_booking_handoffs.py;backend/routers/platform_offer_decision_explanations.py;backend/routers/platform_offer_decision_export_audit_reviews.py;backend/routers/platform_offer_decision_export_compliance.py;backend/routers/platform_offer_decision_export_deliveries.py;backend/routers/platform_offer_decision_export_delivery_outcomes.py;backend/routers/platform_offer_decision_export_governance.py;backend/routers/platform_offer_decision_export_previews.py;backend/routers/platform_offer_decision_export_releases.py;backend/routers/platform_offer_decision_exports.py;backend/routers/platform_offer_decision_packs.py;backend/routers/platform_offer_policy_advisor.py;backend/routers/platform_offer_workspaces.py;backend/routers/platform_operational_constraints.py;backend/routers/platform_operational_evaluations.py;backend/routers/platform_operational_intelligence_cases.py;backend/routers/platform_operational_rule_composer.py;backend/routers/platform_operational_scenario_testing.py;backend/routers/platform_operational_sla_deadlines.py;backend/routers/platform_operational_timelines.py;backend/routers/platform_operational_travel_workspaces.py;backend/routers/platform_operational_workflow_maturity.py;backend/routers/platform_operational_workflows.py;backend/routers/platform_operations_governance.py;backend/routers/platform_passenger_service_feasibility.py;backend/routers/platform_passenger_service_workflows.py;backend/routers/platform_passenger_workspaces.py;backend/routers/platform_pilot_readiness.py;backend/routers/platform_policy_comparison.py;backend/routers/platform_pricing_formula_builder.py;backend/routers/platform_reference_data_engine.py;backend/routers/platform_request_segment_services.py;backend/routers/platform_request_trip_conversion.py;backend/routers/platform_rollout_dashboard.py;backend/routers/platform_rules_services.py;backend/routers/platform_saas_subscriptions.py;backend/routers/platform_service_mechanics.py;backend/routers/platform_service_parameter_taxonomies.py;backend/routers/platform_service_taxonomy.py;backend/routers/platform_ssr_osi_workspaces.py;backend/routers/platform_task_automation.py;backend/routers/platform_ticket_workspaces.py;backend/routers/platform_travel_request_workspaces.py;backend/routers/platform_trip_workspaces.py;backend/routers/platform_visual_policy_editor.py;backend/routers/portal.py;backend/routers/reference.py;backend/routers/refunds_exchanges.py;backend/routers/request_intakes.py;backend/routers/requests.py;backend/routers/trips.py;backend/routers/websites.py,agencies;agency_staff_memberships;agency_workspaces;client_passenger_relationships;client_profiles;passenger_profiles;portal_access_mappings,collection(;Database;assert_agency_access,,,224,external markers are lexical and require manual interpretation
ticket_emd_service,backend/services/ticket_emd_service.py,TicketEmdError@35;TicketEmdService@194,11,0,backend/routers/agency_ticket_emd.py,booking_records;booking_workspaces;emd_coupons;emd_records;ticket_coupons;ticket_emd_timeline_events;ticket_records;trip_dossiers;trip_timeline_events,collection(;Database,BookingProviderTarget;EMDRecord;EmdCoupon;EmdCouponStatus;EmdCreateFromBookingServiceRequest;EmdRecordUpdate;EmdSourceContext;EmdStatus;EmdType;ManualEmdCreate;ManualTicketCreate;TicketCoupon;TicketCouponStatus;TicketCreateFromBookingRequest;TicketEmdTimelineEvent;TicketRecord;TicketRecordUpdate;TicketSourceContext;TicketStatus;TicketType;TripTimelineEvent,provider,1,external markers are lexical and require manual interpretation
ticket_workspace_service,backend/services/ticket_workspace_service.py,TicketWorkspaceError@52;TicketWorkspaceService@56,14,0,backend/routers/agency_ticket_workspaces.py;backend/routers/platform_ticket_workspaces.py,agencies;operational_travel_workspaces;ticket_workspaces,collection(;Database,TicketDocumentStatus;TicketWorkspace;TicketWorkspaceCouponStatus;TicketWorkspaceCreate;TicketWorkspaceStatus;TicketWorkspaceUpdate;new_id,provider,2,external markers are lexical and require manual interpretation
timeline_workspace_service,backend/services/timeline_workspace_service.py,OperationalTimelineError@60;OperationalTimelineService@64,14,0,backend/routers/agency_operational_timelines.py;backend/routers/platform_operational_timelines.py,agencies;operational_timelines,collection(;Database,OperationalTimeline;OperationalTimelineCreate;OperationalTimelineUpdate;new_id,provider,2,external markers are lexical and require manual interpretation
travel_request_workspace_service,backend/services/travel_request_workspace_service.py,TravelRequestWorkspaceService@28,14,0,backend/routers/agency_travel_request_workspaces.py;backend/routers/platform_travel_request_workspaces.py,agencies;operational_travel_workspaces;travel_request_workspaces,collection(;Database,TravelRequestWorkspace;TravelRequestWorkspaceCreate;TravelRequestWorkspaceUpdate;new_id,requests.;provider,2,external markers are lexical and require manual interpretation
trip_change_exchange_service,backend/services/trip_change_exchange_service.py,TripChangeExchangeError@27;TripChangeExchangeService@31,7,0,backend/routers/agency_trip_changes.py,emd_exchange_operations;emd_records;ticket_exchange_operations;ticket_records;trip_change_operations;trip_dossiers;trip_timeline_events,collection(;Database,BookingSourceContext;EmdExchangeOperation;EmdExchangeOperationCreate;EmdSourceContext;ExchangeOperationStatus;ManualBookingWorkspaceCreate;ManualEmdCreate;ManualTicketCreate;TicketExchangeOperation;TicketExchangeOperationCreate;TicketSourceContext;TripChangeOperation;TripChangeOperationCreate;TripChangeOperationStatus;TripTimelineEvent,provider,1,external markers are lexical and require manual interpretation
trip_dossier_service,backend/services/trip_dossier_service.py,write_trip_audit@80;write_trip_timeline@94;write_request_timeline@109;next_trip_reference@123;get_trip_or_404@129;get_request_or_404@136;create_manual_trip@143;create_trip_from_request@157;link_request_to_trip@211;unlink_request_from_trip@232;copy_request_to_trip@249;rebuild_trip_summary@357,0,12,backend/routers/trips.py,audit_events;request_passenger_segment_services;request_passengers;request_pets;request_segments;request_special_items;request_timeline_events;requested_services;travel_requests;trip_dossiers;trip_passengers;trip_segments;trip_service_items;trip_timeline_events,collection(;Database,AuditEvent;RequestTimelineEvent;TripDossier;TripDossierCreate;TripDossierSource;TripPassenger;TripPassengerType;TripSegment;TripServiceItem;TripTimelineEvent,,1,external markers are lexical and require manual interpretation
trip_workspace_service,backend/services/trip_workspace_service.py,TripWorkspaceService@21,14,0,backend/routers/agency_trip_workspaces.py;backend/routers/platform_trip_workspaces.py,agencies;operational_travel_workspaces;trip_workspaces,collection(;Database,TripWorkspace;TripWorkspaceCreate;TripWorkspaceUpdate;new_id,,2,external markers are lexical and require manual interpretation
visual_policy_editor_service,backend/services/visual_policy_editor_service.py,VisualPolicyEditorError@45;VisualPolicyEditorService@49,12,0,backend/routers/agency_visual_policy_editor.py;backend/routers/platform_visual_policy_editor.py,visual_policy_editor_cards,collection(;Database,VisualPolicyEditorCard;VisualPolicyEditorCardCreate;VisualPolicyEditorCardUpdate,provider,2,external markers are lexical and require manual interpretation
