service_module,source_file,service_symbols,public_method_count,public_function_count,router_references,collection_references,persistence_helpers,model_imports,external_io_markers,static_reference_count,notes
request_to_trip_conversion_service,backend/services/request_to_trip_conversion_service.py,RequestToTripConversionError@50;RequestToTripConversionService@54,11,0,backend/routers/agency_request_trip_conversion.py;backend/routers/platform_request_trip_conversion.py,offer_workspaces;offers;operational_workflow_events;operational_workflow_instances;request_passenger_segment_services;request_passengers;request_pet_segment_transport;request_pets;request_segments;request_special_item_segments;request_special_items;request_trip_conversion_issues;request_trip_conversion_plans;request_trip_conversion_runs;request_trip_entity_mappings;requested_services;travel_requests;trip_dossiers;trip_passengers;trip_segments;trip_service_items,collection(;Database,OperationalDeadlineCreate;OperationalTaskAutomationRunRequest;OperationalWorkflowEvent;OperationalWorkflowInstance;RequestTripConversionExecuteRequest;RequestTripConversionIssue;RequestTripConversionPlan;RequestTripConversionPreviewRequest;RequestTripConversionRun;RequestTripEntityMapping;new_id,provider,2,external markers are lexical and require manual interpretation
rollout_dashboard_service,backend/services/rollout_dashboard_service.py,RolloutDashboardService@73,8,0,backend/routers/agency_rollout_dashboard.py;backend/routers/platform_rollout_dashboard.py,agencies;rollout_dashboard_snapshots;rollout_dashboard_views,collection(;Database,RolloutDashboardCounts;RolloutDashboardFilters;RolloutDashboardSection;RolloutDashboardSummary,provider,2,external markers are lexical and require manual interpretation
rules_and_services_registry,backend/services/rules_and_services_registry.py,normalize_code@12;date_from_value@19;route_parts@30;RulesAndServicesRegistry@35,5,3,backend/routers/platform_rules_services.py,airline_ancillaries;airline_distribution_profiles;airline_gds_parameters;airline_intelligence_profiles;airline_profiles;airline_pss_parameters;airline_rules_core;global_reference_records;unified_exception_rules,collection(;Database,,,1,external markers are lexical and require manual interpretation
saas_subscription_service,backend/services/saas_subscription_service.py,SaaSSubscriptionService@103,20,0,backend/routers/agency_saas_subscriptions.py;backend/routers/platform.py;backend/routers/platform_saas_subscriptions.py,agencies;agency_entitlement_readiness;agency_subscription_assignments;agency_subscription_review_notes;agency_subscription_snapshots;saas_plan_entitlements;saas_subscription_plans,collection(;Database,AgencyEntitlementReadiness;AgencyEntitlementReadinessCreateRequest;AgencySubscriptionAssignment;AgencySubscriptionAssignmentCreateRequest;AgencySubscriptionAssignmentUpdateRequest;AgencySubscriptionReviewNote;AgencySubscriptionReviewNoteCreateRequest;AgencySubscriptionSnapshot;AgencySubscriptionSnapshotCreateRequest;SaaSPlanEntitlement;SaaSPlanEntitlementCreateRequest;SaaSSubscriptionPlan;SaaSSubscriptionPlanCreateRequest;SaaSSubscriptionPlanUpdateRequest;now_utc,provider,3,external markers are lexical and require manual interpretation
secret_service,backend/services/secret_service.py,SecretResolutionError@6;SecretResolutionResult@11;mask_secret_ref@20;resolve_secret@35;check_secret@45,0,3,backend/routers/documents.py,,,,,1,external markers are lexical and require manual interpretation
seed_service,backend/services/seed_service.py,safe_seed_filename@76;reference_record@83;core_reference_records@93;seed_core_data@126,0,4,backend/routers/auth.py;backend/routers/portal.py;backend/routers/reference.py,agencies;agency_airline_overrides;agency_email_settings;agency_staff_memberships;agency_workspaces;airline_emd_rule_notes;airline_knowledge_items;airline_knowledge_sources;airline_procedures;airline_profiles;audit_events;auth_identities;booking_passengers;booking_segments;booking_timeline_events;bookings;client_passenger_relationships;client_profiles;document_acknowledgements;document_deliveries;document_delivery_attempts;document_exports;document_templates;document_timeline_events;emd_records;global_reference_records;invoice_line_items;invoices;offer_fare_options;offer_passengers;offer_price_lines;offer_route_alternatives;offer_segments;offer_service_checks;offer_timeline_events;offers;passenger_profiles;payment_records;platform_users;portal_access_mappings;portal_action_events;refund_exchange_cases;refund_exchange_financial_lines;refund_exchange_items;refund_exchange_messages;refund_exchange_timeline_events;rendered_documents;request_messages;request_passengers;request_segments;request_tasks;request_timeline_events;requested_services;ticket_records;travel_requests,collection(;Database,Agency;AgencyAirlineOverride;AgencyEmailSettings;AgencyStaffMembership;AgencyWorkspace;AirlineEmdRuleNote;AirlineKnowledgeItem;AirlineKnowledgeSource;AirlineProcedure;AirlineProfile;AuditEvent;AuthIdentity;Booking;BookingPassenger;BookingSegment;BookingTimelineEvent;ClientPassengerRelationship;ClientProfile;DocumentAcknowledgement;DocumentDelivery;DocumentDeliveryAttempt;DocumentExport;DocumentTemplate;DocumentTimelineEvent;EMDRecord;GlobalReferenceRecord;Invoice;InvoiceLineItem;Offer;OfferFareOption;OfferPassenger;OfferPriceLine;OfferRouteAlternative;OfferSegment;OfferServiceCheck;OfferTimelineEvent;PassengerProfile;PaymentRecord;PlatformRole;PlatformUser;PortalAccessMapping;PortalActionEvent;RefundExchangeCase;RefundExchangeFinancialLine;RefundExchangeItem;RefundExchangeMessage;RefundExchangeTimelineEvent;RenderedDocument;RequestMessage;RequestPassenger;RequestSegment;RequestTask;RequestTimelineEvent;RequestedService;SubscriptionStatus;TicketRecord;TravelRequest,requests.;provider,3,external markers are lexical and require manual interpretation
service_catalogue_service,backend/services/service_catalogue_service.py,normalize_service_key@34;default_required_documents@38;normalize_service_catalogue_payload@47;safe_service_catalogue_record@103;service_catalogue_snapshot@147;find_service_catalogue_record@171;insert_service_catalogue_record@190;update_service_catalogue_record@196,0,8,backend/routers/platform_service_catalogue.py;backend/routers/reference.py;backend/routers/requests.py,service_catalogue,collection(;Database,ServiceCatalogueRecord,,3,external markers are lexical and require manual interpretation
service_mechanics_service,backend/services/service_mechanics_service.py,normalize_taxonomy_code@69;normalize_airline_code@74;normalize_lookup_text@79;enum_value@83;payload_dict@87;clean_updates@93;visible_scoped@97;resource_spec@103;ServiceMechanicsService@109,6,8,backend/routers/agency_service_mechanics.py;backend/routers/platform_service_mechanics.py,airline_emd_interline_rules;airline_emd_issuance_rules;airline_emd_lifecycle_rules;airline_rejection_patterns;airline_rfic_rfisc_mappings;airline_service_communication_rules;airline_service_payment_rules;policy_candidate_mechanics_links;ssr_osi_requirements;ssr_osi_templates;ssr_status_recognition_rules,collection(;Database;visible_scoped,AirlineEmdInterlineRule;AirlineEmdIssuanceRule;AirlineEmdLifecycleRule;AirlineRejectionPattern;AirlineRficRfiscMapping;AirlineServiceCommunicationRule;AirlineServicePaymentRule;PolicyCandidateMechanicsLink;ServiceMechanicsStatus;SsrOsiRequirement;SsrOsiTemplate;SsrStatusRecognitionRule,provider,2,external markers are lexical and require manual interpretation
service_parameter_taxonomy_service,backend/services/service_parameter_taxonomy_service.py,ServiceParameterTaxonomyError@292;ServiceParameterTaxonomyService@296,14,0,backend/routers/agency_service_parameter_taxonomies.py;backend/routers/platform_service_parameter_taxonomies.py,service_parameter_taxonomies,collection(;Database,ServiceParameterTaxonomy;ServiceParameterTaxonomyCreate;ServiceParameterTaxonomyUpdate,provider,2,external markers are lexical and require manual interpretation
service_taxonomy_service,backend/services/service_taxonomy_service.py,normalize_taxonomy_code@52;normalize_alias_text@56;normalize_airline_code@60;enum_value@65;payload_dict@69;clean_updates@75;sorted_items@79;visible_scoped@83;ServiceTaxonomyService@255,28,8,backend/routers/agency_service_taxonomy.py;backend/routers/platform_service_taxonomy.py,airline_policy_approved_knowledge_records;airline_policy_extracted_communication_rules;airline_policy_extracted_emd_rules;airline_policy_extracted_exceptions;airline_policy_extracted_prices;airline_policy_extracted_rules;airline_service_aliases;canonical_service_domains;canonical_service_families;canonical_service_variants;policy_candidate_taxonomy_links;service_applicability_dimensions;service_policy_outcome_types;service_taxonomy_mapping_rules;service_taxonomy_review_corrections,collection(;Database;visible_scoped,AirlineServiceAlias;AirlineServiceAliasType;CanonicalServiceDomain;CanonicalServiceFamily;CanonicalServiceVariant;PolicyCandidateTaxonomyCandidateType;PolicyCandidateTaxonomyLink;ServiceApplicabilityDimension;ServicePolicyOutcomeSeverity;ServicePolicyOutcomeType;ServiceTaxonomyCorrectionScope;ServiceTaxonomyGovernanceStatus;ServiceTaxonomyMappingRule;ServiceTaxonomyMatchType;ServiceTaxonomyPromotionStatus;ServiceTaxonomyReviewCorrection;ServiceTaxonomyReviewStatus;ServiceTaxonomyRuleScope;ServiceTaxonomyStatus,provider,2,external markers are lexical and require manual interpretation
