record_kind,method,full_path,route_prefix,route_name,source_file,line,router_module,registered,auth_dependencies,authorization_scope,service_references,response_model,notes
endpoint,GET,/api/agencies/{agency_id}/client-master/{record_id},/api/agencies/{agency_id},get_agency_client_master,backend/routers/agency_client_passenger_master.py,95,routers.agency_client_passenger_master,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,ClientPassengerMasterError;ClientPassengerMasterService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/document-workspaces,/api/agencies/{agency_id},list_agency_document_workspaces,backend/routers/agency_document_workspaces.py,24,routers.agency_document_workspaces,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,DocumentWorkspaceError;DocumentWorkspaceService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/document-workspaces/summary,/api/agencies/{agency_id},summarize_agency_document_workspaces,backend/routers/agency_document_workspaces.py,52,routers.agency_document_workspaces,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,DocumentWorkspaceError;DocumentWorkspaceService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/document-workspaces/{workspace_id},/api/agencies/{agency_id},get_agency_document_workspace,backend/routers/agency_document_workspaces.py,62,routers.agency_document_workspaces,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,DocumentWorkspaceError;DocumentWorkspaceService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/documents/render-jobs/{render_job_id},/api/agencies/{agency_id},get_render_job,backend/routers/agency_documents.py,106,routers.agency_documents,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,DocumentContextService;DocumentRenderService;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,POST,/api/agencies/{agency_id}/documents/render-jobs/{render_job_id}/rerender,/api/agencies/{agency_id},rerender_job,backend/routers/agency_documents.py,120,routers.agency_documents,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,DocumentContextService;DocumentRenderService;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/documents/packages,/api/agencies/{agency_id},list_document_packages,backend/routers/agency_documents.py,134,routers.agency_documents,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,DocumentContextService;DocumentRenderService;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,POST,/api/agencies/{agency_id}/documents/packages,/api/agencies/{agency_id},create_document_package,backend/routers/agency_documents.py,151,routers.agency_documents,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,DocumentContextService;DocumentRenderService;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/documents/packages/{package_id},/api/agencies/{agency_id},get_document_package,backend/routers/agency_documents.py,162,routers.agency_documents,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,DocumentContextService;DocumentRenderService;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,POST,/api/agencies/{agency_id}/documents/share-records,/api/agencies/{agency_id},create_share_record,backend/routers/agency_documents.py,176,routers.agency_documents,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,DocumentContextService;DocumentRenderService;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
