record_kind,path,route_pattern,registration_kind,page_component,source_file,line,page_file,layout,role_or_surface,module_catalog_label,module_catalog_file,navigation,api_client_calls,backend_support,notes
page,,,page_module,OffersPage,frontend/src/pages/agency/OffersPage.jsx,1,frontend/src/pages/agency/OffersPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/clients;/api/agencies/${context.agency.id}/offers;/api/auth/me,matched_static_backend_shape,no_static_App.jsx_registration
page,,,page_module,PassengersPage,frontend/src/pages/agency/PassengersPage.jsx,1,frontend/src/pages/agency/PassengersPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/passengers;/api/agencies/${state.agency.id}/passengers;/api/auth/me,matched_static_backend_shape,no_static_App.jsx_registration
page,/,,page_module,HomePage,frontend/src/pages/public/HomePage.jsx,1,frontend/src/pages/public/HomePage.jsx,PublicLayout,public_or_auth,,,,/api/public/request-intakes,matched_static_backend_shape,registered_in_app
page,/agency,,page_module,AgencyDashboardPage,frontend/src/pages/agency/AgencyDashboardPage.jsx,1,frontend/src/pages/agency/AgencyDashboardPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${agency.id}/requests;/api/agencies/${agency.id}/saas-subscriptions/module-visibility;/api/agencies/${agency.id}/staff;/api/agencies/${agency.id}/workspaces;/api/auth/me;/api/request-intakes?agency_id=${agency.id},matched_static_backend_shape,registered_in_app
page,/agency/after-sales,,page_module,AfterSalesPage,frontend/src/pages/agency/AfterSalesPage.jsx,1,frontend/src/pages/agency/AfterSalesPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/after-sales${queryString(nextFilters)};/api/agencies/${state.agency.id}/after-sales;/api/agencies/${state.agency.id}/after-sales/${selected.id};/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/airline-contact-directory,,page_module,AgencyAirlineContactDirectoryPage,frontend/src/pages/agency/AirlineContactDirectoryPage.jsx,1,frontend/src/pages/agency/AirlineContactDirectoryPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/airline-contact-directory;/api/agencies/${state.agency.id}/airline-contact-directory/compose;/api/agencies/${state.agency.id}/airline-contact-directory/find-desk;/api/agencies/${state.agency.id}/airline-contact-directory/interactions;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/airline-evidence,,page_module,AgencyAirlineEvidencePage,frontend/src/pages/agency/AirlineEvidencePage.jsx,1,frontend/src/pages/agency/AirlineEvidencePage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/airline-evidence${query?;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/airline-intelligence,,page_module,AirlineIntelligencePage,frontend/src/pages/agency/AirlineIntelligencePage.jsx,1,frontend/src/pages/agency/AirlineIntelligencePage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/airline-intelligence/search?${query.toString()};/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/airline-intelligence-consumption,,page_module,AgencyAirlineIntelligenceConsumptionPage,frontend/src/pages/agency/AirlineIntelligenceConsumptionPage.jsx,1,frontend/src/pages/agency/AirlineIntelligenceConsumptionPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/airline-intelligence-consumption;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/airline-intelligence-coverage,,page_module,AirlineIntelligenceCoveragePage,frontend/src/pages/agency/AirlineIntelligenceCoveragePage.jsx,1,frontend/src/pages/agency/AirlineIntelligenceCoveragePage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/airline-intelligence-data-packs;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/airline-intelligence-knowledge-versions,,page_module,AgencyAirlineIntelligenceKnowledgeVersionsPage,frontend/src/pages/agency/AirlineIntelligenceKnowledgeVersionsPage.jsx,1,frontend/src/pages/agency/AirlineIntelligenceKnowledgeVersionsPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/airline-intelligence-knowledge-versions;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/airline-intelligence-readiness,,page_module,AgencyAirlineIntelligenceReadinessPage,frontend/src/pages/agency/AirlineIntelligenceReadinessPage.jsx,1,frontend/src/pages/agency/AirlineIntelligenceReadinessPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/airline-intelligence-readiness;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/airline-intelligence-review-coverage,,page_module,AirlineIntelligenceReviewCoveragePage,frontend/src/pages/agency/AirlineIntelligenceReviewCoveragePage.jsx,1,frontend/src/pages/agency/AirlineIntelligenceReviewCoveragePage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/airline-intelligence-data-pack-reviews;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/airline-intelligence/{param1},,page_module,AirlineIntelligenceDetailPage,frontend/src/pages/agency/AirlineIntelligenceDetailPage.jsx,1,frontend/src/pages/agency/AirlineIntelligenceDetailPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/airlines/${airlineId}/intelligence;/api/agencies/${state.agency.id}/airlines/${airlineId}/overrides;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/airline-knowledge/{param1},,page_module,AirlineKnowledgeViewPage,frontend/src/pages/agency/AirlineKnowledgeViewPage.jsx,1,frontend/src/pages/agency/AirlineKnowledgeViewPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/airline-knowledge/${knowledgeId};/api/agencies/${state.agency.id}/airline-knowledge/${knowledgeId}/usage;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/airline-policy-library,,page_module,AirlinePolicyLibraryPage,frontend/src/pages/agency/AirlinePolicyLibraryPage.jsx,1,frontend/src/pages/agency/AirlinePolicyLibraryPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${agencyId}/airline-policy/sources/${sourceId};/api/agencies/${context.agency.id}/airline-policy/library${query?;/api/agencies/${context.agency.id}/airline-policy/sources;/api/agencies/${state.agency.id}/airline-policy/review-corrections;/api/agencies/${state.agency.id}/airline-policy/sources;/api/agencies/${state.agency.id}/airline-policy/sources/${selectedSource.id}/extract;/api/agencies/${state.agency.id}/airline-policy/sources/${selectedSource.id}/submit-for-platform-review;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/airline-profiles,,page_module,AirlineProfilesPage,frontend/src/pages/agency/AirlineProfilesPage.jsx,1,frontend/src/pages/agency/AirlineProfilesPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/airline-master-profiles${suffix};/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/airline-service-advisor;/agency/airline-service-advisor,,page_module,AirlineServiceAdvisorPage,frontend/src/pages/agency/AirlineServiceAdvisorPage.jsx,1,frontend/src/pages/agency/AirlineServiceAdvisorPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/policy-comparison;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/airline-service-coverage,,page_module,AgencyAirlineServiceCoveragePage,frontend/src/pages/agency/AirlineServiceCoveragePage.jsx,1,frontend/src/pages/agency/AirlineServiceCoveragePage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/airline-service-coverage${query};/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/ancillary-pricing,,page_module,AgencyAncillaryPricingPage,frontend/src/pages/agency/AncillaryPricingPage.jsx,1,frontend/src/pages/agency/AncillaryPricingPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/ancillary-pricing;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/assigned-bundles,,page_module,AssignedBundlesPage,frontend/src/pages/agency/AssignedBundlesPage.jsx,1,frontend/src/pages/agency/AssignedBundlesPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/feature-bundle-assignment-history;/api/agencies/${context.agency.id}/feature-bundle-assignments;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/booking-handoffs,,page_module,BookingHandoffsPage,frontend/src/pages/agency/BookingHandoffsPage.jsx,1,frontend/src/pages/agency/BookingHandoffsPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/booking-handoffs${queryString(nextForm)};/api/agencies/${state.agency.id}/booking-handoffs;/api/agencies/${state.agency.id}/booking-handoffs/${selected.id}/create-booking-workspace;/api/auth/me,matched_static_backend_shape,registered_in_app
